iso_code,country,2022_last_updated,2020_population,area,density_sq_km,growth_rate,world_%,rank
VUT,Vanuatu,"320,499","307,145","12,189 sq_km",26/sq_km,2.34%,0.00%,181
NCL,New Caledonia,"290,471","285,498","18,575 sq_km",16/sq_km,0.94%,0.00%,183
BRB,Barbados,"287,960","287,375",430 sq_km,670/sq_km,0.11%,0.00%,184
MYT,Mayotte,"285,053","272,815",374 sq_km,765/sq_km,2.41%,0.00%,185
PYF,French Polynesia,"283,910","280,908","4,167 sq_km",68/sq_km,0.58%,0.00%,186
STP,Sao Tome And Principe,"226,917","219,159",964 sq_km,236/sq_km,1.93%,0.00%,187
WSM,Samoa,"201,922","198,414","2,842 sq_km",71/sq_km,1.04%,0.00%,188
LCA,Saint Lucia,"184,986","183,627",616 sq_km,301/sq_km,0.39%,0.00%,189
GUM,Guam,"171,265","168,775",549 sq_km,312/sq_km,0.79%,0.00%,190
CUW,Curacao,"165,402","164,093",444 sq_km,373/sq_km,0.44%,0.00%,191
KIR,Kiribati,"123,038","119,449",811 sq_km,152/sq_km,1.67%,0.00%,192
FSM,Micronesia,"117,299","115,023",702 sq_km,167/sq_km,1.06%,0.00%,193
GRD,Grenada,"113,412","112,523",344 sq_km,330/sq_km,0.40%,0.00%,194
TON,Tonga,"107,559","105,695",747 sq_km,144/sq_km,0.93%,0.00%,196
ABW,Aruba,"107,546","106,766",180 sq_km,598/sq_km,0.38%,0.00%,197
VIR,United States Virgin Islands,"104,034","104,425",347 sq_km,300/sq_km,-0.24%,0.00%,198
ATG,Antigua And Barbuda,"99,382","97,929",442 sq_km,225/sq_km,0.79%,0.00%,199
SYC,Seychelles,"99,363","98,347",452 sq_km,220/sq_km,0.52%,0.00%,200
AND,Andorra,"77,463","77,265",468 sq_km,166/sq_km,0.14%,0.00%,202
DMA,Dominica,"72,344","71,986",751 sq_km,96/sq_km,0.25%,0.00%,203
CYM,Cayman Islands,"67,277","65,722",264 sq_km,255/sq_km,1.17%,0.00%,204
BMU,Bermuda,"61,939","62,278",54 sq_km,"1,147/sq_km",-0.24%,0.00%,205
MHL,Marshall Islands,"60,057","59,190",181 sq_km,332/sq_km,0.75%,0.00%,206
MNP,Northern Mariana Islands,"58,269","57,559",464 sq_km,126/sq_km,0.61%,0.00%,207
GRL,Greenland,"56,973","56,770","2,166,086 sq_km",0/sq_km,0.17%,0.00%,208
ASM,American Samoa,"55,030","55,191",199 sq_km,277/sq_km,-0.13%,0.00%,209
KNA,Saint Kitts And Nevis,"53,871","53,199",261 sq_km,206/sq_km,0.61%,0.00%,210
FRO,Faroe Islands,"49,233","48,863","1,393 sq_km",35/sq_km,0.38%,0.00%,211
MAF,Sint Maarten,"43,966","42,876",34 sq_km,"1,293/sq_km",1.28%,0.00%,212
MCO,Monaco,"39,783","39,242",2 sq_km,"19,892/sq_km",0.69%,0.00%,213
TCA,Turks And Caicos Islands,"39,741","38,717",948 sq_km,42/sq_km,1.30%,0.00%,214
MAF,Saint Martin,"39,730","38,666",53 sq_km,750/sq_km,1.26%,0.00%,215
LIE,Liechtenstein,"38,387","38,128",160 sq_km,240/sq_km,0.36%,0.00%,216
SMR,San Marino,"34,085","33,931",61 sq_km,559/sq_km,0.20%,0.00%,217
GIB,Gibraltar,"33,704","33,691",6 sq_km,"5,617/sq_km",0.02%,0.00%,218
PLW,Palau,"18,233","18,094",459 sq_km,40/sq_km,0.35%,0.00%,220
COK,Cook Islands,"17,571","17,564",236 sq_km,74/sq_km,0.03%,0.00%,221
AIA,Anguilla,"15,230","15,003",91 sq_km,167/sq_km,0.75%,0.00%,222
TUV,Tuvalu,"12,066","11,792",26 sq_km,464/sq_km,1.13%,0.00%,223
WLF,Wallis And Futuna,"10,982","11,239",142 sq_km,77/sq_km,-1.01%,0.00%,224
NRU,Nauru,"10,903","10,824",21 sq_km,519/sq_km,0.25%,0.00%,225
BL,Saint Barthelemy,"9,945","9,877",21 sq_km,474/sq_km,0.38%,0.00%,226
SPM,Saint Pierre And Miquelon,"5,759","5,794",242 sq_km,24/sq_km,-0.12%,0.00%,227
MSR,Montserrat,"4,965","4,992",102 sq_km,49/sq_km,-0.24%,0.00%,228
FLK,Falkland Islands,"3,539","3,480","12,173 sq_km",0/sq_km,0.17%,0.00%,229
NIU,Niue,"1,622","1,626",260 sq_km,6/sq_km,0.19%,0.00%,230
TKL,Tokelau,"1,378","1,357",12 sq_km,115/sq_km,0.36%,0.00%,231
VAT,Vatican City,799,801,1 sq_km,799/sq_km,-0.12%,0.00%,232
